report_year,report_week,district,disease,category,cases,source_pdf,uid
2017,27,Satara,Chikungunya,vector-borne,53,272017.pdf,MH/STA/2017/27/0977
2017,27,Sindhudurg,Hepatitis E,water-borne,5,272017.pdf,MH/SIN/2017/27/0978
2017,28,Raigad,Hepatitis A,water-borne,32,282017.pdf,MH/RGD/2017/28/1036
2017,28,Ratnagiri,Cholera,water-borne,83,282017.pdf,MH/RTG/2017/28/1017
2017,28,Washim,Dengue,vector-borne,25,282017.pdf,MH/WAS/2017/28/1037
2017,29,Dharashiv,Cholera,water-borne,3,292017.pdf,MH/OSM/2017/29/1070
2017,29,Thane,Dengue,vector-borne,56,292017.pdf,MH/THN/2017/29/1071
2017,29,Thane,Dengue,vector-borne,89,292017.pdf,MH/THN/2017/29/1072
2017,29,Thane,Dengue,vector-borne,86,292017.pdf,MH/THN/2017/29/1075
2017,29,Thane,Malaria,vector-borne,15,292017.pdf,MH/THN/2017/29/1073
2017,29,Thane,Malaria,vector-borne,26,292017.pdf,MH/THN/2017/29/1074
2017,30,Gadchiroli,Malaria,vector-borne,127,302017.pdf,MH/GAD/2017/30/1100
2017,32,Gadchiroli,Malaria,vector-borne,459,86234916091504855728.pdf,MH/GAD/2017/32/1169
2017,33,Nagpur,Chikungunya,vector-borne,38,332017.pdf,MH/NAG/2017/33/1205
2017,33,Satara,Dengue,vector-borne,26,332017.pdf,MH/STA/2017/33/1206
2017,34,Jalna,Japanese encephalitis,vector-borne,27,342017.pdf,MH/JLN/2017/34/1247
2017,34,Nagpur,Scrub typhus,vector-borne,2,342017.pdf,MH/NAG/2017/34/1240
2017,36,Sangli,Dengue,vector-borne,11,362017.pdf,MH/SGL/2017/36/1314
2017,37,Chhatrapati Sambhajinagar,Dengue,vector-borne,18,372017.pdf,MH/AGB/2017/37/1342
2017,38,Dharashiv,Measles,air-borne,17,382017.pdf,MH/OSM/2017/38/1390
2017,38,Nagpur,Dengue,vector-borne,5,382017.pdf,MH/NAG/2017/38/1373
2017,38,Sindhudurg,Malaria,vector-borne,5,382017.pdf,MH/SIN/2017/38/1374
2017,39,Beed,Dengue,vector-borne,8,392017.pdf,MH/BED/2017/39/1402
2017,39,Chhatrapati Sambhajinagar,Dengue,vector-borne,11,392017.pdf,MH/AGB/2017/39/1401
2017,39,Kolhapur,Acute diarrhoeal disease,water-borne,48,392017.pdf,MH/KOP/2017/39/1403
2017,40,Nagpur,Dengue,vector-borne,529,402017.pdf,MH/NAG/2017/40/1424
2017,40,Sangli,Dengue,vector-borne,58,402017.pdf,MH/SGL/2017/40/1434
2017,41,Jalgaon,Dengue,vector-borne,8,412017.pdf,MH/JGA/2017/41/1472
2017,41,Jalgaon,Measles,air-borne,15,412017.pdf,MH/JGA/2017/41/1453
2017,42,Ahilyanagar,Malaria,vector-borne,3,422017.pdf,MH/AMN/2017/42/1483
2017,42,Nashik,Dengue,vector-borne,7,422017.pdf,MH/NAS/2017/42/1494
2017,42,Satara,Chikungunya,vector-borne,16,422017.pdf,MH/STA/2017/42/1496
2017,43,Beed,Dengue,vector-borne,50,432017.pdf,MH/BED/2017/43/1515
2017,44,Beed,Dengue,vector-borne,19,442017.pdf,MH/BED/2017/44/1537
