report_year,report_week,district,disease,category,cases,source_pdf,uid
2017,1,Sindhudurg,Malaria (PF),vector-borne,2.0,16761928221487223715.pdf,MH/SIN/2017/1/0011
2017,1,Sindhudurg,Suspected Measles,air-borne,5.0,16761928221487223715.pdf,MH/SIN/2017/1/0012
2017,10,Nagpur,Rubella,air-borne,6.0,102017.pdf,MH/NAG/2017/10/0305
2017,10,Osmanabad,Chickenpox,air-borne,14.0,102017.pdf,MH/OSM/2017/10/0328
2017,10,Washim,Measles,air-borne,7.0,102017.pdf,MH/WAS/2017/10/0306
2017,11,Akola,Measles,air-borne,6.0,112017.pdf,MH/AKL/2017/11/0343
2017,11,Dhule,Measles,air-borne,9.0,112017.pdf,MH/DHL/2017/11/0344
2017,11,Nagpur,Chickenpox,air-borne,10.0,112017.pdf,MH/NAG/2017/11/0345
2017,16,Aurangabad,"Poisoning 22 00 Control outbreak. House to house survey done. All cases treated symptomatically. Health education given. Cases reported from Village Campkhadanold City, Under Block Akola. District RRT investigated the Fever with 18-04-17 18-04-17 MH/AKL/2017/16/0547 Maharashtra Akola 17 00 Surveillance outbreak. House to house survey done. Health rash camp organized and all cases treated symptomatically. Health education given. Cases reported from Village/SC Pohara Channa, PHC Pohara, Block Lakhani. District RRT Under investigated the outbreak. House to house survey MH/BNR/2017/16/0548 Maharashtra Bhandara Chickenpox",air-borne,13.0,162017.pdf,MH/AGB/2017/16/0546
2017,16,Nagpur,Chickenpox,air-borne,19.0,162017.pdf,MH/NAG/2017/16/0549
2017,16,Wardha,Measles,air-borne,11.0,162017.pdf,MH/WDH/2017/16/0550
2017,17,Aurangabad,Measles,air-borne,5.0,172017.pdf,MH/AGB/2017/17/0591
2017,21,Osmanabad,Measles,air-borne,6.0,212017.pdf,MH/OSM/2017/21/0782
2017,22,Bhandara,"03 01 10-05-17 Encephalitis Control at IGMC Nagpur for JE and Chandipura virus, 2 found positive for JE test. All cases treated symptomatically. Health education given. Cases reported from Village Ganesh Nagar, PHC Janwal. Food Under District RRT investigated the outbreak. House to house survey MH/LTR/2017/22/0828 Maharashtra Latur",vector-borne,35.0,76224562731499776651.pdf,MH/BNR/2017/22/0827
2017,23,Sindhudurg,Malaria,vector-borne,93.0,232017.pdf,MH/SIN/2017/23/0847
2017,24,Satara,Chikungunya,vector-borne,32.0,242017.pdf,MH/STA/2017/24/0890
2017,25,Yavatmal,"05 01 09-06-17 Poisoning Control sent to Forensic lab Aurangabad, result awaited. Health camp organized in the school and all cases treated symptomatically. Health education given. Deceased was 40 yrs old male. FOLLOW UP OF DISEASE OUTBREAKS OF PREVIOUS WEEKS Date of No. of No. of Current Unique ID. Name of District Disease/ Illness Start of Comments/ Action Taken Cases Deaths Status Outbreak 23 Cases were reported from Village Bharatpur, PHC/CHC Mangalgi, Taluk Chittapur in week 24. Out of 10 blood Dengue Under KN/GUL/2017/24/0875 Kalaburagi",vector-borne,35.0,252017.pdf,MH/YVT/2017/25/0933
2017,27,Satara,Chikungunya,vector-borne,53.0,272017.pdf,MH/STA/2017/27/0977
